"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"225","desc","C1,C8,","0805","libref","2","2","","",
"104","desc","C3,C6,C7,C10,C13,C14,C15,C16,C17,C18,C19,C20,","0805","libref","2","12","","",
"D_TVS","desc","D2,D8,D9,","D_SMB","libref","2","3","","",
"GRN","desc","D3,D5,","LED_0805","libref","2","2","","",
"RED","desc","D4,D6,","LED_0805","libref","2","2","","",
"LED","desc","D7,","LED_0805","libref","2","1","","",
"6.8V0.1A","desc","F2,F3,","0805","libref","2","2","","",
"4.7K","desc","R3,R33,R39,R46,","0805","libref","2","4","","",
"47K","desc","R4,R7,R9,R12,R15,R20,R21,R23,","0805","libref","2","8","","",
"4K7","desc","R5,","0805","libref","2","1","","",
"220","desc","R6,R8,R10,R11,R17,R22,R32,R43,","0805","libref","2","8","","",
"1K","desc","R13,R14,R35,R42,","0805","libref","2","4","","",
"10K","desc","R16,R24,R25,R26,R36,R44,R45,","0805","libref","2","7","","",
"100","desc","R18,R19,R34,","0805","libref","2","3","","",
"220K","desc","R29,","0805","libref","2","1","","",
"51","desc","R31,","0805","libref","2","1","","",
"18K","desc","R37,R38,","0805","libref","2","2","","",
"120","desc","R40,","0805","libref","2","1","","",
"470","desc","R41,","0805","libref","2","1","","",
"ULN2003A","desc","U4,","SOIC-16_3.9x9.9mm_Pitch1.27mm","libref","16","1","","",
"AMS1117-3.3","desc","U5,","SOT-223-3_TabPin2","libref","4","1","","",
"74HCT595","desc","U11,","SOIC-16_3.9x9.9mm_Pitch1.27mm","libref","16","1","","",
"ESP-07","desc","U12,","ESP-07S","libref","16","1","","",
"AT24C64","desc","U13,","SOIC-8_3.9x4.9mm_Pitch1.27mm","libref","8","1","","",
"LM358","desc","U14,U17,","SOIC-8_3.9x4.9mm_Pitch1.27mm","libref","8","2","","",
"MAX485E","desc","U19,","SOIC-8_3.9x4.9mm_Pitch1.27mm","libref","8","1","","",
"Bridge","desc","JP4,JP5,JP6,JP7,","Bridge","libref","2","4","","",
"Through Hole Items ",
"100uF","desc","C2,C9,C11,","CP_Radial_D5.0mm_P2.50mm","libref","2","3","","",
"2200uF 50V","desc","C4,","CP_Radial_D16.0mm_P7.50mm","libref","2","1","","",
"10uF","desc","C5,","CP_Radial_D5.0mm_P2.50mm","libref","2","1","","",
"100uF 50V","desc","C12,","CP_Radial_D8.0mm_P3.50mm","libref","2","1","","",
"1N4007","desc","D1,","D_DO-41_SOD81_P10.16mm_Horizontal","libref","2","1","","",
"15A","desc","F1,","Fuseholder5x20","libref","2","1","","",
"24VAC","desc","J1,","508CON-2P","libref","2","1","","",
"Brake","desc","J2,","508CON-2P","libref","2","1","","",
"Motor","desc","J3,","508CON-2P","libref","2","1","","",
"Limit","desc","J4,","508CON-2P","libref","2","1","","",
"LED_G","desc","J5,","XH2.54-2","libref","2","1","","",
"Ground","desc","J6,","508CON-2P","libref","2","1","","",
"LED_B","desc","J7,","XH2.54-2","libref","2","1","","",
"UART","desc","J8,","XH2.54-4","libref","4","1","","",
"POT","desc","J9,","508CON-3P","libref","3","1","","",
"RS485","desc","J10,","508CON-3P","libref","3","1","","",
"G2R-1-E","desc","K1,K2,K3,K4,","OMRON G2R-1-E","libref","8","4","","",
"220","desc","R1,R2,","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","libref","2","2","","",
"1K 1W","desc","R28,","R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","libref","2","1","","",
"1k 1W","desc","R30,","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","libref","2","1","","",
"DCDC-isolator","desc","U1,U3,","B0505-2W","libref","6","2","","",
"L7812","desc","U2,","TO-220-3_Vertical","libref","3","1","","",
"PC817","desc","U6,U7,U8,U9,U10,U16,","DIP-4_W7.62mm","libref","4","6","","",
"HCNR201","desc","U15,","DIP-8_W10.16mm","libref","8","1","","",
"6N137","desc","U18,U20,","DIP-8_W7.62mm","libref","8","2","","",
"Jumper-3pin","desc","JP1,JP2,JP3,","Jumper_3P","libref","3","3","","",
"SW_SPST","desc","SW1,","SW_PUSH_6mm","libref","4","1","","",
"Heatsink_23mm_2P","desc","Ref**,","Heatsink_23mm_2P","libref","2","1","","",
