"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","1206_C","61.75mm","45.75mm","61.75mm","45.75mm","63.24mm","45.75mm","T","180","2.2uF 25V",
"C3","0805_C","76.25mm","46.0mm","76.25mm","46.0mm","77.14mm","46.0mm","T","180","104",
"C6","1206_C","61.0mm","60.25mm","61.0mm","60.25mm","62.49mm","60.25mm","T","180","104 100V",
"C7","0805_C","4.25mm","22.75mm","4.25mm","22.75mm","4.25mm","23.64mm","T","270","104",
"C8","0805_C","65.75mm","32.5mm","65.75mm","32.5mm","65.75mm","33.39mm","T","270","10uF",
"C9","0805_C","57.75mm","26.25mm","57.75mm","26.25mm","56.86mm","26.25mm","T","0","1uF",
"C10","0805_C","61.5mm","42.75mm","61.5mm","42.75mm","62.39mm","42.75mm","T","180","1uF",
"C11","0805_C","41.25mm","41.25mm","41.25mm","41.25mm","40.36mm","41.25mm","T","0","104",
"C12","0805_C","52.89mm","27.25mm","52.89mm","27.25mm","53.78mm","27.25mm","T","180","104",
"C13","0805_C","37.5mm","26.0mm","37.5mm","26.0mm","37.5mm","25.11mm","T","90","104",
"C14","0805_C","12.25mm","16.39mm","12.25mm","16.39mm","12.25mm","17.28mm","T","270","10uF",
"C15","0805_C","29.15mm","20.65mm","29.15mm","20.65mm","30.04mm","20.65mm","T","180","104",
"C16","0805_C","74.1mm","20.5mm","74.1mm","20.5mm","74.1mm","21.39mm","T","270","104",
"C17","0805_C","55.2mm","9.49mm","55.2mm","9.49mm","55.2mm","10.38mm","T","270","104",
"C18","0805_C","29.5mm","44.25mm","29.5mm","44.25mm","30.39mm","44.25mm","T","180","103",
"C19","0805_C","31.05mm","36.75mm","31.05mm","36.75mm","31.05mm","37.64mm","T","270","105",
"C20","1206_C","65.75mm","70.75mm","65.75mm","70.75mm","65.75mm","72.24mm","T","270","1uF 50V",
"C21","0805_C","41.25mm","47.0mm","41.25mm","47.0mm","40.36mm","47.0mm","T","0","104",
"C22","0805_C","28.25mm","36.75mm","28.25mm","36.75mm","28.25mm","37.64mm","T","270","270p",
"C23","0805_C","15.6mm","21.11mm","15.6mm","21.11mm","15.6mm","22.0mm","T","270","104",
"C24","0805_C","39.0mm","36.75mm","39.0mm","36.75mm","39.0mm","37.64mm","T","270","103",
"C25","0805_C","77.75mm","33.0mm","77.75mm","33.0mm","77.75mm","33.89mm","T","270","104",
"C26","0805_C","77.75mm","26.86mm","77.75mm","26.86mm","77.75mm","27.75mm","T","270","104",
"C27","0805_C","84.25mm","22.0mm","84.25mm","22.0mm","85.14mm","22.0mm","T","180","1uF",
"C28","0805_C","92.36mm","28.0mm","92.36mm","28.0mm","93.25mm","28.0mm","T","180","1uF",
"C29","0805_C","42.1mm","11.5mm","42.1mm","11.5mm","42.99mm","11.5mm","T","180","104",
"C30","0805_C","19.5mm","57.0mm","19.5mm","57.0mm","19.5mm","56.11mm","T","90","104",
"C31","1210_C","71.0mm","50.75mm","71.0mm","50.75mm","71.0mm","52.225mm","T","270","10uF 50V",
"C32","1210_C","75.0mm","50.774999mm","75.0mm","50.774999mm","75.0mm","52.249999mm","T","270","10uF 50V",
"C33","0805_C","58.5mm","54.25mm","58.5mm","54.25mm","59.39mm","54.25mm","T","180","6.8pF",
"C34","0805_C","54.0mm","54.25mm","54.0mm","54.25mm","54.89mm","54.25mm","T","180","3.9nF",
"C35","0805_C","70.25mm","55.5mm","70.25mm","55.5mm","70.25mm","54.61mm","T","90","6.8nF",
"C36","0805_C","67.75mm","50.25mm","67.75mm","50.25mm","67.75mm","49.36mm","T","90","104",
"C37","1210_C","61.5mm","38.5mm","61.5mm","38.5mm","61.5mm","37.025mm","T","90","10uF 50V",
"C38","1206_C","76.75mm","63.5mm","76.75mm","63.5mm","76.75mm","62.01mm","T","90","1uF 50V",
"C39","0805_C","50.19mm","5.3mm","50.19mm","5.3mm","51.08mm","5.3mm","T","180","104",
"C40","0805_C","50.2mm","2.5mm","50.2mm","2.5mm","51.09mm","2.5mm","T","180","104",
"D1","SMA(DO-214AC)_S1","93.0mm","63.8mm","93.0mm","63.8mm","93.0mm","61.7mm","T","270","1N4007",
"D2","SMA(DO-214AC)_S1","89.0mm","66.2mm","89.0mm","66.2mm","89.0mm","64.1mm","T","270","36V",
"D3","SMA(DO-214AC)_S1","92.25mm","19.0mm","92.25mm","19.0mm","92.25mm","16.9mm","T","270","16V",
"D4","LL-34","50.5mm","66.75mm","50.5mm","66.75mm","50.5mm","65.0mm","T","270","16V",
"D5","SMA(DO-214AC)_S1","85.0mm","27.5mm","85.0mm","27.5mm","85.0mm","29.6mm","T","90","16V",
"D6","SMA(DO-214AC)_S1","81.25mm","27.5mm","81.25mm","27.5mm","81.25mm","29.6mm","T","90","16V",
"D7","SMA(DO-214AC)_S1","23.15mm","61.0mm","23.15mm","61.0mm","25.25mm","61.0mm","T","0","5.6V",
"D8","SMA(DO-214AC)_S1","15.25mm","61.0mm","15.25mm","61.0mm","17.35mm","61.0mm","T","0","5.6V",
"D9","SMA(DO-214AC)_S1","63.0mm","50.0mm","63.0mm","50.0mm","65.1mm","50.0mm","T","0","SS14",
"D10","SMA(DO-214AC)_S1","92.75mm","36.75mm","92.75mm","36.75mm","92.75mm","34.65mm","T","270","16V",
"F1","1206_R","84.4mm","66.4mm","84.4mm","66.4mm","84.4mm","64.91mm","T","90","1A",
"F2","0805_R","28.5mm","65.25mm","28.5mm","65.25mm","28.5mm","66.14mm","T","270","6.8V0.1A",
"F3","0805_R","10.25mm","61.0mm","10.25mm","61.0mm","10.25mm","61.89mm","T","270","6.8V0.1A",
"J2","1206_R","69.25mm","68.75mm","69.25mm","68.75mm","69.25mm","70.24mm","T","270","0",
"L1","0805_L","41.25mm","44.25mm","41.25mm","44.25mm","42.14mm","44.25mm","T","180","bead",
"L2","L_12.6mm_13.5mm","51.75mm","43.75mm","51.75mm","43.75mm","51.75mm","49.75mm","T","270","100uH",
"Q1","SOT-23(SOT-23-3)","54.2mm","64.0mm","54.2mm","64.0mm","55.15mm","65.25mm","T","90","8550",
"Q2","TO-252-2","60.25mm","68.25mm","60.25mm","68.25mm","57.97mm","64.05mm","T","90","TIP127",
"Q3","SOT-23(SOT-23-3)","54.0mm","71.5mm","54.0mm","71.5mm","52.75mm","72.45mm","T","180","MMBT5551",
"R1","0805_R","72.0mm","46.0mm","72.0mm","46.0mm","72.89mm","46.0mm","T","180","10K",
"R2","0805_R","4.25mm","18.5mm","4.25mm","18.5mm","4.25mm","19.39mm","T","270","10K",
"R3","0805_R","37.5mm","21.2mm","37.5mm","21.2mm","37.5mm","22.09mm","T","270","100K",
"R4","0805_R","42.85mm","30.5mm","42.85mm","30.5mm","42.85mm","31.39mm","T","270","10",
"R5","0805_R","84.75mm","33.25mm","84.75mm","33.25mm","84.75mm","34.14mm","T","270","1K",
"R6","0805_R","46.65mm","30.55mm","46.65mm","30.55mm","46.65mm","31.44mm","T","270","10",
"R7","0805_R","50.25mm","71.75mm","50.25mm","71.75mm","50.25mm","72.64mm","T","270","18K 1%",
"R8","0805_R","50.5mm","59.0mm","50.5mm","59.0mm","50.5mm","59.89mm","T","270","10K 1%",
"R9","0805_R","54.0mm","68.0mm","54.0mm","68.0mm","54.89mm","68.0mm","T","180","10K",
"R10","0805_R","2.5mm","56.25mm","2.5mm","56.25mm","2.5mm","55.36mm","T","90","10K",
"R11","0805_R","55.89mm","60.25mm","55.89mm","60.25mm","55.0mm","60.25mm","T","0","100K",
"R12","0805_R","76.75mm","69.25mm","76.75mm","69.25mm","76.75mm","68.36mm","T","90","4.7K",
"R13","0805_R","80.33mm","67.0mm","80.33mm","67.0mm","80.33mm","67.89mm","T","270","240",
