Comment,Description,Designator,Footprint,LibRef,Pins,Quantity,PartNumber,url,¹ºÂò
2.2uF 25V,desc,"C1,",1206_C,libref,2,1,,,STK
104,desc,"C3,C5,C7,C12,C13,C16,C17,C21,C25,C26,C30,C39,C40,C41,",0805_C,libref,2,14,,,STK
10uF 63V,desc,"C6,",1210_C,libref,2,1,,,STK
10uF,desc,"C8,C14,",0805_C,libref,2,2,,,STK
1uF,desc,"C9,C10,C27,C28,",0805_C,libref,2,4,,,STK
330pF,desc,"C15,",0805_C,libref,2,1,,,STK
103,desc,"C18,C24,",0805_C,libref,2,2,,,STK
105,desc,"C19,",0805_C,libref,2,1,,,STK
1uF 50V,desc,"C20,C38,",1206_C,libref,2,2,,,STK
270p,desc,"C22,",0805_C,libref,2,1,,,STK
10uF,desc,"C23,",1210_C,libref,2,1,,,STK
47uF 25V,desc,"C29,",CP_Elec_6.3x5.9,libref,2,1,,,LC
1N4007,desc,"D1,",SMA(DO-214AC)_S1,libref,2,1,,,STK
50V,desc,"D2,",SMA(DO-214AC)_S1,libref,2,1,,,LC
16V,desc,"D3,D5,D6,D10,",SMA(DO-214AC)_S1,libref,2,4,,,LC
16V,desc,"D4,",LL-34,libref,2,1,,,
5.6V,desc,"D7,D8,",SMA(DO-214AC)_S1,libref,2,2,,,LC
SS34,desc,"D9,",SMA(DO-214AC)_S1,libref,2,1,,,LC
1A,desc,"F1,",1206_R,libref,2,1,,,STK
6.8V0.1A,desc,"F2,F3,",0805_R,libref,2,2,,,STK
bead,desc,"L1,",0805_L,libref,2,1,,,STK
22uH 2A,desc,"L2,",L_Taiyo-Yuden_NR-50xx,libref,2,1,,,LC_BOUGHT
8550,desc,"Q1,",SOT-23(SOT-23-3),libref,3,1,,,STK
TIP127,desc,"Q2,",TO-252-2,libref,7,1,,,STK
MMBT5551,desc,"Q3,",SOT-23(SOT-23-3),libref,3,1,,,STK
10K,desc,"R1,R2,R9,R10,R66,",0805_R,libref,2,5,,,STK
100K,desc,"R4,R11,",0805_R,libref,2,2,,,STK
1K,desc,"R5,R32,R49,R56,R57,R58,R60,R62,",0805_R,libref,2,8,,,STK
2.2K,desc,"R6,R13,R16,",0805_R,libref,2,3,,,STK
18K 1%,desc,"R7,",0805_R,libref,2,1,,,STK
10K 1%,desc,"R8,",0805_R,libref,2,1,,,STK
51K,desc,"R12,",0805_R,libref,2,1,,,STK
10,desc,"R14,R20,R21,R22,R33,R42,",0805_R,libref,2,6,,,STK
4.7K,desc,"R15,R17,R26,R27,R47,R59,",0805_R,libref,2,6,,,STK
100,desc,"R18,R19,R34,R45,",0805_R,libref,2,4,,,STK
680 1/2,desc,"R28,R48,",R_1812_4532Metric_Pad1.30x3.40mm_HandSolder,libref,2,2,,,STK
220K,desc,"R29,R50,",0805_R,libref,2,2,,,STK
1K 1/2,desc,"R30,",R_1812_4532Metric_Pad1.30x3.40mm_HandSolder,libref,2,1,,,STK
1.5k,desc,"R31,",0805_R,libref,2,1,,,STK
49.9,desc,"R35,R40,R41,R43,",0805_R,libref,2,4,,,STK
330,desc,"R36,R38,",0805_R,libref,2,2,,,STK
18K,desc,"R37,R46,",0805_R,libref,2,2,,,STK
12.1K 1%,desc,"R39,",0805_R,libref,2,1,,,STK
51,desc,"R51,R52,",0805_R,libref,2,2,,,STK
1K1/2,desc,"R53,",R_1812_4532Metric_Pad1.30x3.40mm_HandSolder,libref,2,1,,,STK
200,desc,"R54,R69,R70,",0805_R,libref,2,3,,,STK
220,desc,"R55,",0805_R,libref,2,1,,,STK
120,desc,"R61,",0805_R,libref,2,1,,,STK
25K,desc,"R64,",0805_R,libref,2,1,,,STK
150K,desc,"R65,",0805_R,libref,2,1,,,STK
ESP32-WROOM-32,desc,"U2,",ESP32-WROOM-32,libref,39,1,,,TB_BOUGHT
LM317_TO-220,desc,"U3,",TO-252-2,libref,7,1,,,STK
L78L05_SOT89,desc,"U4,",SOT-89(SOT-89-3),libref,4,1,,,STK
AMS1117-3.3,desc,"U5,",SOT-223,libref,4,1,,,STK
LAN8720A,desc,"U7,",QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,libref,29,1,,,STK
PCA9555PW,desc,"U8,",TSSOP-24_4.4x7.8mm_P0.65mm,libref,24,1,,,LC
HCNR201,desc,"U9,U15,",SMDIP-8_W11.48mm,libref,8,2,,,YX
EL357,desc,"U10,U12,U18,U19,U20,",SOP-4_P2.54,libref,4,5,,,STK
LM358,desc,"U14,",SOIC-8_150MIL,libref,8,1,,,STK
LMV358,desc,"U17,",SOIC-8_150MIL,libref,8,1,,,STK
MAX485E,desc,"U21,",SOIC-8_150MIL,libref,8,1,,,STK
SW_SPST,desc,"SW1,",SW_SPST_TS_1101,libref,2,1,,,STK
Power,desc,"J4,",PinSocket_2x05_P2.54mm_Vertical_SMD,libref,10,1,,,STK
