"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","1206_C","53.5mm","39.0mm","53.5mm","39.0mm","53.5mm","37.51mm","T","90","2.2uF 25V",
"C3","0805_C","83.0mm","38.5mm","83.0mm","38.5mm","83.0mm","39.39mm","T","270","104",
"C5","0805_C","31.6mm","27.0mm","31.6mm","27.0mm","30.71mm","27.0mm","T","0","104",
"C6","1210_C","73.25mm","47.15mm","73.25mm","47.15mm","73.25mm","45.675mm","T","90","10uF 63V",
"C7","0805_C","4.25mm","22.75mm","4.25mm","22.75mm","4.25mm","23.64mm","T","270","104",
"C8","0805_C","65.75mm","32.5mm","65.75mm","32.5mm","65.75mm","33.39mm","T","270","10uF",
"C9","0805_C","57.75mm","26.25mm","57.75mm","26.25mm","56.86mm","26.25mm","T","0","1uF",
"C10","0805_C","56.5mm","38.5mm","56.5mm","38.5mm","56.5mm","37.61mm","T","90","1uF",
"C12","0805_C","52.89mm","27.25mm","52.89mm","27.25mm","53.78mm","27.25mm","T","180","104",
"C13","0805_C","67.4mm","53.15mm","67.4mm","53.15mm","66.51mm","53.15mm","T","0","104",
"C14","0805_C","12.25mm","16.39mm","12.25mm","16.39mm","12.25mm","17.28mm","T","270","10uF",
"C15","0805_C","63.6mm","56.4mm","63.6mm","56.4mm","63.6mm","55.51mm","T","90","330pF",
"C16","0805_C","74.1mm","20.5mm","74.1mm","20.5mm","74.1mm","21.39mm","T","270","104",
"C17","0805_C","55.2mm","9.49mm","55.2mm","9.49mm","55.2mm","10.38mm","T","270","104",
"C18","0805_C","29.5mm","44.25mm","29.5mm","44.25mm","30.39mm","44.25mm","T","180","103",
"C19","0805_C","31.05mm","36.75mm","31.05mm","36.75mm","31.05mm","37.64mm","T","270","105",
"C20","1206_C","65.75mm","70.75mm","65.75mm","70.75mm","65.75mm","72.24mm","T","270","1uF 50V",
"C21","0805_C","41.25mm","47.0mm","41.25mm","47.0mm","40.36mm","47.0mm","T","0","104",
"C22","0805_C","28.25mm","36.75mm","28.25mm","36.75mm","28.25mm","37.64mm","T","270","270p",
"C23","1210_C","58.35mm","46.15mm","58.35mm","46.15mm","56.875mm","46.15mm","T","0","10uF",
"C24","0805_C","39.0mm","36.75mm","39.0mm","36.75mm","39.0mm","37.64mm","T","270","103",
"C25","0805_C","77.75mm","33.0mm","77.75mm","33.0mm","77.75mm","33.89mm","T","270","104",
"C26","0805_C","77.75mm","26.86mm","77.75mm","26.86mm","77.75mm","27.75mm","T","270","104",
"C27","0805_C","84.25mm","22.0mm","84.25mm","22.0mm","85.14mm","22.0mm","T","180","1uF",
"C28","0805_C","92.36mm","28.0mm","92.36mm","28.0mm","93.25mm","28.0mm","T","180","1uF",
"C29","CP_Elec_6.3x5.9","51.55mm","48.2mm","51.55mm","48.2mm","51.55mm","51.0mm","T","270","47uF 25V",
"C30","0805_C","19.5mm","57.0mm","19.5mm","57.0mm","19.5mm","56.11mm","T","90","104",
"C38","1206_C","73.85mm","51.6mm","73.85mm","51.6mm","75.34mm","51.6mm","T","180","1uF 50V",
"C39","0805_C","50.19mm","5.3mm","50.19mm","5.3mm","51.08mm","5.3mm","T","180","104",
"C40","0805_C","50.2mm","2.5mm","50.2mm","2.5mm","51.09mm","2.5mm","T","180","104",
"C41","0805_C","62.3mm","2.3mm","62.3mm","2.3mm","62.3mm","3.19mm","T","270","104",
"D1","SMA(DO-214AC)_S1","93.0mm","63.8mm","93.0mm","63.8mm","93.0mm","65.9mm","T","90","1N4007",
"D2","SMA(DO-214AC)_S1","89.0mm","66.2mm","89.0mm","66.2mm","89.0mm","64.1mm","T","270","50V",
"D3","SMA(DO-214AC)_S1","92.25mm","19.0mm","92.25mm","19.0mm","92.25mm","16.9mm","T","270","16V",
"D4","LL-34","50.5mm","66.75mm","50.5mm","66.75mm","50.5mm","68.5mm","T","90","16V",
"D5","SMA(DO-214AC)_S1","85.0mm","27.5mm","85.0mm","27.5mm","85.0mm","29.6mm","T","90","16V",
"D6","SMA(DO-214AC)_S1","81.25mm","27.5mm","81.25mm","27.5mm","81.25mm","29.6mm","T","90","16V",
"D7","SMA(DO-214AC)_S1","23.15mm","61.0mm","23.15mm","61.0mm","25.25mm","61.0mm","T","0","5.6V",
"D8","SMA(DO-214AC)_S1","15.25mm","61.0mm","15.25mm","61.0mm","17.35mm","61.0mm","T","0","5.6V",
"D9","SMA(DO-214AC)_S1","63.55mm","50.45mm","63.55mm","50.45mm","63.55mm","48.35mm","T","270","SS34",
"D10","SMA(DO-214AC)_S1","92.75mm","36.75mm","92.75mm","36.75mm","92.75mm","34.65mm","T","270","16V",
"F1","1206_R","84.4mm","66.4mm","84.4mm","66.4mm","84.4mm","64.91mm","T","90","1A",
"F2","0805_R","28.5mm","65.25mm","28.5mm","65.25mm","28.5mm","66.14mm","T","270","6.8V0.1A",
