"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"104","desc","C1,C2,C3,","0805_C","libref","2","3","","",
"103 100V","desc","C4,C5,C6,","1210_C","libref","2","3","","",
"Power","desc","J5,","PinHeader_2x05_P2.54mm_Vertical_SMD","libref","10","1","","",
"Control Signals","desc","J6,","PinHeader_2x05_P2.54mm_Vertical_SMD","libref","10","1","","",
"Sensor","desc","J7,","PinHeader_2x05_P2.54mm_Vertical_SMD","libref","10","1","","",
"BT138","desc","Q1,Q2,Q3,","TO-252-2","libref","7","3","","",
"220","desc","R1,R2,R3,R4,R5,R6,R7,","0805_R","libref","2","7","","",
"100","desc","R8,R9,R13,","1206_R","libref","2","3","","",
"10K","desc","R10,R11,R12,R14,","0805_R","libref","2","4","","",
"33","desc","R17,R18,R19,","1206_R","libref","2","3","","",
"100","desc","R20,","0805_R","libref","2","1","","",
"MOC3063M","desc","U1,U4,U7,","SMDIP-6_W9.53mm","libref","6","3","","",
"EL357","desc","U2,U3,U5,U6,","SOP-4_P2.54","libref","4","4","","",
"ULN2003","desc","U8,","SOIC-16_150MIL","libref","16","1","","",
"ACS712xLCTR-30A","desc","U9,","SOIC-8_3.9x4.9mm_P1.27mm","libref","8","1","","",
"Through Hole Items ",
"Screw","desc","J1,J2,","M3_Screwhole","libref","7","2","","",
"BT138","desc","Q1B1,Q2B1,","TO-220_External_Thermal_Mount_Short","libref","4","2","","",
"15A","desc","F1,","Fuseholder5x20","libref","2","1","","",
"MOT1","desc","J8,","PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal","libref","3","1","","",
"TRIAC_AUX1","desc","J9,","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","libref","2","1","","",
"MOT2","desc","J11,","PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal","libref","3","1","","",
"AC in","desc","J12,","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","libref","2","1","","",
"G2RL-1-E","desc","K1,K2,K3,K4,","G2RL-1-E","libref","8","4","","",
