"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","0805_C","38.3mm","59.3mm","38.3mm","59.3mm","37.41mm","59.3mm","T","0","104",
"C2","0805_C","38.3mm","64.7mm","38.3mm","64.7mm","37.41mm","64.7mm","T","0","104",
"C3","0805_C","10.6mm","68.6mm","10.6mm","68.6mm","9.71mm","68.6mm","T","0","104",
"C4","1210_C","39.75mm","49.25mm","39.75mm","49.25mm","38.275mm","49.25mm","T","0","103 100V",
"C5","1210_C","39.725mm","24.25mm","39.725mm","24.25mm","38.25mm","24.25mm","T","0","103 100V",
"C6","1210_C","46.025mm","10.75mm","46.025mm","10.75mm","44.55mm","10.75mm","T","0","103 100V",
"J5","PinHeader_2x05_P2.54mm_Vertical_SMD","56.5mm","59.0mm","56.5mm","59.0mm","53.975mm","64.08mm","T","0","Power",
"J6","PinHeader_2x05_P2.54mm_Vertical_SMD","6.5mm","15.0mm","6.5mm","15.0mm","3.975mm","20.08mm","T","0","Control Signals",
"J7","PinHeader_2x05_P2.54mm_Vertical_SMD","6.5mm","60.0mm","6.5mm","60.0mm","3.975mm","65.08mm","T","0","Sensor",
"Q1","TO-252-2","44.525mm","57.225mm","44.525mm","57.225mm","42.245mm","53.025mm","T","90","BT138",
"Q2","TO-252-2","36.75mm","29.75mm","36.75mm","29.75mm","40.95mm","27.47mm","T","180","BT138",
"Q3","TO-252-2","34.5mm","15.25mm","34.5mm","15.25mm","32.22mm","11.05mm","T","90","BT138",
"R1","0805_R","13.0mm","50.25mm","13.0mm","50.25mm","13.0mm","51.14mm","T","270","220",
"R2","0805_R","7.61mm","46.0mm","7.61mm","46.0mm","6.72mm","46.0mm","T","0","220",
"R3","0805_R","7.5mm","36.0mm","7.5mm","36.0mm","6.61mm","36.0mm","T","0","220",
"R4","0805_R","15.5mm","25.0mm","15.5mm","25.0mm","14.61mm","25.0mm","T","0","220",
"R5","0805_R","16.25mm","11.5mm","16.25mm","11.5mm","16.25mm","10.61mm","T","90","220",
"R6","0805_R","16.25mm","5.5mm","16.25mm","5.5mm","16.25mm","4.61mm","T","90","220",
"R7","0805_R","16.5mm","57.11mm","16.5mm","57.11mm","16.5mm","56.22mm","T","90","220",
"R8","1206_R","38.0mm","53.99mm","38.0mm","53.99mm","38.0mm","55.48mm","T","270","100",
"R9","1206_R","34.65mm","24.0mm","34.65mm","24.0mm","33.16mm","24.0mm","T","0","100",
"R10","0805_R","17.5mm","40.5mm","17.5mm","40.5mm","16.61mm","40.5mm","T","0","10K",
"R11","0805_R","17.5mm","36.5mm","17.5mm","36.5mm","16.61mm","36.5mm","T","0","10K",
"R12","0805_R","17.5mm","32.0mm","17.5mm","32.0mm","16.61mm","32.0mm","T","0","10K",
"R13","1206_R","40.75mm","12.0mm","40.75mm","12.0mm","40.75mm","13.49mm","T","270","100",
"R14","0805_R","17.5mm","28.0mm","17.5mm","28.0mm","16.61mm","28.0mm","T","0","10K",
"R17","1206_R","25.5mm","71.0mm","25.5mm","71.0mm","24.01mm","71.0mm","T","0","33",
"R18","1206_R","24.5mm","26.0mm","24.5mm","26.0mm","23.01mm","26.0mm","T","0","33",
"R19","1206_R","24.7mm","54.65mm","24.7mm","54.65mm","23.21mm","54.65mm","T","0","33",
"R20","0805_R","38.39mm","62.0mm","38.39mm","62.0mm","37.5mm","62.0mm","T","0","100",
"U1","SMDIP-6_W9.53mm","21.0mm","48.75mm","21.0mm","48.75mm","16.235mm","51.29mm","T","0","MOC3063M",
"U2","SOP-4_P2.54","9.5mm","41.5mm","9.5mm","41.5mm","6.5mm","42.77mm","T","0","EL357",
"U3","SOP-4_P2.54","9.5mm","31.5mm","9.5mm","31.5mm","6.5mm","32.77mm","T","0","EL357",
"U4","SMDIP-6_W9.53mm","21.0mm","19.5mm","21.0mm","19.5mm","16.235mm","22.04mm","T","0","MOC3063M",
"U5","SOP-4_P2.54","22.25mm","11.0mm","22.25mm","11.0mm","19.25mm","12.27mm","T","0","EL357",
"U6","SOP-4_P2.54","22.25mm","5.0mm","22.25mm","5.0mm","19.25mm","6.27mm","T","0","EL357",
"U7","SMDIP-6_W9.53mm","20.4mm","64.5mm","20.4mm","64.5mm","15.635mm","67.04mm","T","0","MOC3063M",
"U8","SOIC-16_150MIL","24.0mm","34.75mm","24.0mm","34.75mm","21.4mm","39.195mm","T","270","ULN2003",
"U9","SOIC-8_3.9x4.9mm_P1.27mm","37.5mm","70.0mm","37.5mm","70.0mm","39.405mm","72.475mm","T","270","ACS712xLCTR-30A",
"Through Hole Items ",
"J1","M3_Screwhole","4.0mm","71.0mm","4.0mm","71.0mm","6.05681mm","72.1875mm","T","0","Screw",
"J2","M3_Screwhole","4.0mm","4.0mm","4.0mm","4.0mm","6.05681mm","5.1875mm","T","0","Screw",
"Q1B1","TO-220_External_Thermal_Mount_Short","40.25mm","43.45mm","40.25mm","43.45mm","40.25mm","43.85mm","T","270","BT138",
"Q2B1","TO-220_External_Thermal_Mount_Short","42.5mm","21.75mm","42.5mm","21.75mm","42.5mm","22.15mm","T","270","BT138",
