Comment,Description,Designator,Footprint,LibRef,Pins,Quantity,PartNumber,url,¹ºÂò
10uF,desc,"C1,",0805_C,libref,2,1,,,STK
1uF,desc,"C2,C3,C7,C9,C21,C22,",0805_C,libref,2,6,,,STK
10uF,desc,"C4,C5,C6,C8,C19,",1206_C,libref,2,5,,,STK
104,desc,"C10,C11,C12,C14,C16,C17,C18,C20,",0805_C,libref,2,8,,,STK
SD103,desc,"D1,D2,D3,D4,",SOD-123,libref,2,4,,,STK
4148,desc,"D5,D6,D7,D8,D9,D10,D11,D12,D13,",SOD-123,libref,2,9,,,STK
Sensor Feedback,desc,"J1,",PinHeader_2x05_P2.54mm_Vertical_SMD,libref,10,1,,,STK
Control Signals,desc,"J2,",PinHeader_2x05_P2.54mm_Vertical_SMD,libref,10,1,,,STK
Power,desc,"J3,",PinHeader_2x05_P2.54mm_Vertical_SMD,libref,10,1,,,STK
8050,desc,"Q1,",SOT-23(SOT-23-3),libref,3,1,,,STK
IRFS4310Z,desc,"Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,",TO-252-2,libref,3,8,,,STK
220,desc,"R1,R2,R3,R4,R5,R11,R12,R13,",0805_R,libref,2,8,,,STK
4.7K,desc,"R6,R7,R8,R9,R10,R14,R15,R16,",0805_R,libref,2,8,,,STK
10K,desc,"R17,",0805_R,libref,2,1,,,STK
100,desc,"R18,R19,R26,R27,",0805_R,libref,2,4,,,STK
22,desc,"R20,R21,R30,R31,R32,R33,",0805_R,libref,2,6,,,STK
1K,desc,"R22,R23,R24,R25,R45,R47,R48,R49,",0805_R,libref,2,8,,,STK
0,desc,"R28,",1206_R,libref,2,1,,,STK
47K,desc,"R29,R43,",0805_R,libref,2,2,,,STK
10,desc,"R34,R35,R40,R41,R50,R51,R56,R57,",0805_R,libref,2,8,,,STK
100K,desc,"R36,R37,R38,R39,R52,R53,R54,R55,",0805_R,libref,2,8,,,STK
51K,desc,"R42,",0805_R,libref,2,1,,,STK
LTV-357T,desc,"U1,U2,U3,U4,U5,U6,U7,U8,",SO-4_4.4x3.6mm_P2.54mm,libref,4,8,,,STK
IR2104,desc,"U9,U10,U11,U12,",SOIC-8_150MIL,libref,8,4,,,YX
CC6902-10A,desc,"U13,U14,",SOIC-8_3.9x4.9mm_P1.27mm,libref,8,2,,,LC
74HC00,desc,"U15,",SOIC-14_150MIL,libref,14,1,,,STK
LM324,desc,"U16,",SOIC-14_150MIL,libref,14,1,,,STK
74HC04,desc,"U17,",SOIC-14_150MIL,libref,14,1,,,STK
L78L05_SOT89,desc,"U18,",SOT-89(SOT-89-3),libref,4,1,,,STK
100uF 50V,desc,"C13,C15,",CP_Elec_8x10.5,libref,2,2,,,STK
H1INL,desc,"TP2,",TestPoint_Pad_D1.0mm,libref,1,1,,,STK
H1INR,desc,"TP3,",TestPoint_Pad_D1.0mm,libref,1,1,,,STK
H2INL,desc,"TP4,",TestPoint_Pad_D1.0mm,libref,1,1,,,STK
H2INR,desc,"TP5,",TestPoint_Pad_D1.0mm,libref,1,1,,,STK
GNDP,desc,"TP6,TP7,",TestPoint_Pad_D1.0mm,libref,1,2,,,STK
VIS1,desc,"TP8,",TestPoint_Pad_D1.0mm,libref,1,1,,,STK
VIS2,desc,"TP9,",TestPoint_Pad_D1.0mm,libref,1,1,,,STK
VID1,desc,"TP10,",TestPoint_Pad_D1.0mm,libref,1,1,,,STK
VID2,desc,"TP11,",TestPoint_Pad_D1.0mm,libref,1,1,,,STK
GNDS,desc,"TP12,",TestPoint_Pad_D1.0mm,libref,1,1,,,STK
VMID,desc,"TP13,",TestPoint_Pad_D1.0mm,libref,1,1,,,STK
Through Hole Items ,,,,,,,,,
M3,desc,"SC1,SC2,SC3,SC4,",M3_Screwhole,libref,7,4,,,STK
15A,desc,"F1,",Fuseholder5x20,libref,2,1,,,STK
MOT1,desc,"J4,","PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal",libref,3,1,,,STK
MOT2,desc,"J5,","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",libref,2,1,,,STK
Ground,desc,"J6,","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",libref,2,1,,,STK
DC in,desc,"J7,","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",libref,2,1,,,STK
G2RL-1-E,desc,"K1,",G2RL-1-E,libref,8,1,,,STK
