"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","0805_C","9.5mm","69.0mm","9.5mm","69.0mm","9.5mm","68.11mm","T","90","10uF",
"C2","0805_C","24.25mm","9.75mm","24.25mm","9.75mm","24.25mm","8.86mm","T","90","1uF",
"C3","0805_C","31.25mm","34.36mm","31.25mm","34.36mm","31.25mm","35.25mm","T","270","1uF",
"C4","1206_C","28.5mm","9.25mm","28.5mm","9.25mm","29.99mm","9.25mm","T","180","10uF",
"C5","1206_C","38.2mm","24.95mm","38.2mm","24.95mm","36.71mm","24.95mm","T","0","10uF",
"C6","1206_C","27.4mm","21.8mm","27.4mm","21.8mm","28.89mm","21.8mm","T","180","10uF",
"C7","0805_C","27.25mm","24.75mm","27.25mm","24.75mm","28.14mm","24.75mm","T","180","1uF",
"C8","1206_C","34.75mm","58.95mm","34.75mm","58.95mm","36.24mm","58.95mm","T","180","10uF",
"C9","0805_C","30.1mm","59.0mm","30.1mm","59.0mm","30.99mm","59.0mm","T","180","1uF",
"C10","0805_C","58.25mm","26.25mm","58.25mm","26.25mm","58.25mm","25.36mm","T","90","104",
"C11","0805_C","51.75mm","26.4mm","51.75mm","26.4mm","51.75mm","27.29mm","T","270","104",
"C12","0805_C","39.5mm","61.0mm","39.5mm","61.0mm","40.39mm","61.0mm","T","180","104",
"C14","0805_C","39.6mm","54.5mm","39.6mm","54.5mm","40.49mm","54.5mm","T","180","104",
"C16","0805_C","21.0mm","36.75mm","21.0mm","36.75mm","21.0mm","35.86mm","T","90","104",
"C17","0805_C","12.0mm","69.0mm","12.0mm","69.0mm","12.0mm","68.11mm","T","90","104",
"C18","0805_C","17.5mm","59.5mm","17.5mm","59.5mm","17.5mm","58.61mm","T","90","104",
"C19","1206_C","85.25mm","7.5mm","85.25mm","7.5mm","83.76mm","7.5mm","T","0","10uF",
"C20","0805_C","21.5mm","48.6mm","21.5mm","48.6mm","20.61mm","48.6mm","T","0","104",
"C21","0805_C","31.400001mm","64.6mm","31.400001mm","64.6mm","31.400001mm","65.49mm","T","270","1uF",
"C22","0805_C","28.129999mm","64.6mm","28.129999mm","64.6mm","28.129999mm","65.49mm","T","270","1uF",
"D1","SOD-123","28.25mm","12.25mm","28.25mm","12.25mm","26.775mm","12.25mm","T","180","SD103",
"D2","SOD-123","32.8mm","24.75mm","32.8mm","24.75mm","31.325mm","24.75mm","T","180","SD103",
"D3","SOD-123","32.8mm","21.8mm","32.8mm","21.8mm","31.325mm","21.8mm","T","180","SD103",
"D4","SOD-123","34.85mm","61.35mm","34.85mm","61.35mm","33.375mm","61.35mm","T","180","SD103",
"D5","SOD-123","85.25mm","1.75mm","85.25mm","1.75mm","86.725mm","1.75mm","T","0","4148",
"D6","SOD-123","34.75mm","4.0mm","34.75mm","4.0mm","36.225mm","4.0mm","T","0","4148",
"D7","SOD-123","70.0mm","10.0mm","70.0mm","10.0mm","71.475mm","10.0mm","T","0","4148",
"D8","SOD-123","34.75mm","14.5mm","34.75mm","14.5mm","36.225mm","14.5mm","T","0","4148",
"D9","SOD-123","71.5mm","20.75mm","71.5mm","20.75mm","72.975mm","20.75mm","T","0","4148",
"D10","SOD-123","34.75mm","38.0mm","34.75mm","38.0mm","36.225mm","38.0mm","T","0","4148",
"D11","SOD-123","70.0mm","40.5mm","70.0mm","40.5mm","71.475mm","40.5mm","T","0","4148",
"D12","SOD-123","34.75mm","45.25mm","34.75mm","45.25mm","36.225mm","45.25mm","T","0","4148",
"D13","SOD-123","70.0mm","50.0mm","70.0mm","50.0mm","71.475mm","50.0mm","T","0","4148",
"J1","PinHeader_2x05_P2.54mm_Vertical_SMD","6.5mm","60.0mm","6.5mm","60.0mm","3.825mm","65.08mm","T","0","Sensor Feedback",
"J2","PinHeader_2x05_P2.54mm_Vertical_SMD","6.5mm","15.0mm","6.5mm","15.0mm","3.975mm","20.08mm","T","0","Control Signals",
"J3","PinHeader_2x05_P2.54mm_Vertical_SMD","56.5mm","60.0mm","56.5mm","60.0mm","53.975mm","65.08mm","T","0","Power",
"Q1","SOT-23(SOT-23-3)","75.75mm","4.0mm","75.75mm","4.0mm","74.5mm","4.95mm","T","180","8050",
"Q6","TO-252-2","39.0mm","8.275mm","39.0mm","8.275mm","39.0mm","10.63628mm","T","180","IRFS4310Z",
"Q7","TO-252-2","64.3mm","8.275mm","64.3mm","8.275mm","64.3mm","5.91372mm","T","0","IRFS4310Z",
"Q8","TO-252-2","39.0mm","18.853341mm","39.0mm","18.853341mm","39.0mm","21.214621mm","T","180","IRFS4310Z",
"Q9","TO-252-2","64.3mm","18.853341mm","64.3mm","18.853341mm","64.3mm","16.492061mm","T","0","IRFS4310Z",
"Q10","TO-252-2","39.0mm","37.48168mm","39.0mm","37.48168mm","39.0mm","39.84296mm","T","180","IRFS4310Z",
"Q11","TO-252-2","64.3mm","37.48168mm","64.3mm","37.48168mm","64.3mm","35.1204mm","T","0","IRFS4310Z",
"Q12","TO-252-2","39.0mm","47.310019mm","39.0mm","47.310019mm","39.0mm","49.671299mm","T","180","IRFS4310Z",
"Q13","TO-252-2","64.25mm","47.310019mm","64.25mm","47.310019mm","64.25mm","44.948739mm","T","0","IRFS4310Z",
"R1","0805_R","15.6mm","54.2mm","15.6mm","54.2mm","15.6mm","55.09mm","T","270","220",
"R2","0805_R","4.6mm","50.005mm","4.6mm","50.005mm","4.6mm","50.895mm","T","270","220",
"R3","0805_R","4.6mm","25.955mm","4.6mm","25.955mm","4.6mm","26.845mm","T","270","220",
"R4","0805_R","4.6mm","44.405mm","4.6mm","44.405mm","4.6mm","45.295mm","T","270","220",
"R5","0805_R","4.6mm","38.355mm","4.6mm","38.355mm","4.6mm","39.245mm","T","270","220",
"R6","0805_R","17.2mm","48.8mm","17.2mm","48.8mm","17.2mm","49.69mm","T","270","4.7K",
"R7","0805_R","17.2mm","25.5mm","17.2mm","25.5mm","17.2mm","26.39mm","T","270","4.7K",
"R8","0805_R","17.2mm","44.0mm","17.2mm","44.0mm","17.2mm","44.89mm","T","270","4.7K",
"R9","0805_R","17.25mm","38.0mm","17.25mm","38.0mm","17.25mm","38.89mm","T","270","4.7K",
"R10","0805_R","28.0mm","54.25mm","28.0mm","54.25mm","28.0mm","53.36mm","T","90","4.7K",
"R11","0805_R","4.6mm","32.305mm","4.6mm","32.305mm","4.6mm","33.195mm","T","270","220",
"R12","0805_R","10.75mm","4.75mm","10.75mm","4.75mm","11.64mm","4.75mm","T","180","220",
"R13","0805_R","15.4mm","13.2mm","15.4mm","13.2mm","16.29mm","13.2mm","T","180","220",
"R14","0805_R","17.2mm","29.7mm","17.2mm","29.7mm","17.2mm","28.81mm","T","90","4.7K",
"R15","0805_R","20.0mm","4.75mm","20.0mm","4.75mm","20.89mm","4.75mm","T","180","4.7K",
"R16","0805_R","17.75mm","20.5mm","17.75mm","20.5mm","16.86mm","20.5mm","T","0","4.7K",
"R17","0805_R","75.75mm","7.55mm","75.75mm","7.55mm","76.64mm","7.55mm","T","180","10K",
"R18","0805_R","55.0mm","26.39mm","55.0mm","26.39mm","55.0mm","27.28mm","T","270","100",
"R19","0805_R","47.5mm","60.75mm","47.5mm","60.75mm","47.5mm","61.64mm","T","270","100",
"R20","0805_R","21.25mm","24.75mm","21.25mm","24.75mm","20.36mm","24.75mm","T","0","22",
"R21","0805_R","27.75mm","36.75mm","27.75mm","36.75mm","27.75mm","37.64mm","T","270","22",
"R22","0805_R","22.75mm","59.5mm","22.75mm","59.5mm","22.75mm","60.39mm","T","270","1K",
"R23","0805_R","39.64mm","63.5mm","39.64mm","63.5mm","38.75mm","63.5mm","T","0","1K",
"R24","0805_R","20.25mm","59.5mm","20.25mm","59.5mm","20.25mm","58.61mm","T","90","1K",
"R25","0805_R","20.25mm","72.0mm","20.25mm","72.0mm","20.25mm","72.89mm","T","270","1K",
"R26","0805_R","17.2mm","33.75mm","17.2mm","33.75mm","17.2mm","34.64mm","T","270","100",
"R27","0805_R","26.0mm","48.6mm","26.0mm","48.6mm","25.11mm","48.6mm","T","0","100",
"R28","1206_R","65.25mm","64.75mm","65.25mm","64.75mm","63.76mm","64.75mm","T","0","0",
"R29","0805_R","80.0mm","7.5mm","80.0mm","7.5mm","79.11mm","7.5mm","T","0","47K",
"R30","0805_R","20.0mm","2.0mm","20.0mm","2.0mm","20.89mm","2.0mm","T","180","22",
"R31","0805_R","31.3mm","30.1mm","31.3mm","30.1mm","31.3mm","29.21mm","T","90","22",
"R32","0805_R","24.5mm","36.75mm","24.5mm","36.75mm","24.5mm","35.86mm","T","90","22",
"R33","0805_R","29.5mm","49.0mm","29.5mm","49.0mm","29.5mm","49.89mm","T","270","22",
"R34","0805_R","33.0mm","7.5mm","33.0mm","7.5mm","33.0mm","8.39mm","T","270","10",
"R35","0805_R","71.75mm","6.445mm","71.75mm","6.445mm","71.75mm","5.555mm","T","90","10",
"R36","0805_R","36.25mm","7.5mm","36.25mm","7.5mm","36.25mm","6.61mm","T","90","100K",
"R37","0805_R","68.25mm","6.445mm","68.25mm","6.445mm","68.25mm","7.335mm","T","270","100K",
"R38","0805_R","36.0mm","18.25mm","36.0mm","18.25mm","36.0mm","19.14mm","T","270","100K",
"R39","0805_R","68.25mm","17.023341mm","68.25mm","17.023341mm","68.25mm","16.133341mm","T","90","100K",
"R40","0805_R","33.25mm","18.25mm","33.25mm","18.25mm","33.25mm","19.14mm","T","270","10",
"R41","0805_R","71.75mm","17.023341mm","71.75mm","17.023341mm","71.75mm","16.133341mm","T","90","10",
"R42","0805_R","14.6mm","68.0mm","14.6mm","68.0mm","14.6mm","68.89mm","T","270","51K",
"R43","0805_R","14.6mm","63.6mm","14.6mm","63.6mm","14.6mm","64.49mm","T","270","47K",
"R45","0805_R","14.75mm","59.5mm","14.75mm","59.5mm","14.75mm","58.61mm","T","90","1K",
"R47","0805_R","16.75mm","72.0mm","16.75mm","72.0mm","16.75mm","72.89mm","T","270","1K",
